country,code,year,region,incgroup,kyoto,co2_pc,co2_gdp,ghse,gdp_pc,gdp_g,gdp_g5,unem,gobexp,hmcd,lendborr,fiscrev,expfuel,tourism,daysbus,imp,exp,tradebal,urbanpop,denspop,minexp,lifexp,school,elec_pc,pop,pop_g,inf,rir,capform,ind_work,savings,cer_yield,agr_prod,fert_cons,forest,energy_gdp,surface,elect_rnw,natrent,minrent,gasrent,forrent,coalrent,energy_pc,fossil_use,agr_va,agr_emp,pol_syst,pol_or,pol_dem,cci,ind_va,serv_emp,oilrent,gasrent,impfuel
Aruba,ABW,2003,Latin America & Caribbean,High income,0,26.42045209,0.718600164,,36766.55451,1.975547262,0.920342603,,,4.123031253,,,,48.58619013,,70.86788281,63.10116086,-7.766721946,45.606,538.9833333,0.105130155,74.038,109.2143021,,97017,2.109354335,3.656365079,8.42512012,29.21503593,,14.85436066,,,,2.333333333,,180,0,0.00069997,0,0,0.00069997,0,0,,0.401381979,,,NA,,,16.79270315,,0,0,0
Afghanistan,AFG,2003,South Asia,Low income,0,0.051255589,0.041475297,14709.884,1235.810063,8.832277804,,11.68000031,,,,,,,,,,,22.353,36.27251019,,57.271,93.36218262,,23680871,4.668361494,,,,10.35000038,,1458,69.59,3.478546063,1.850994088,1.325028253,652860,70.24972856,0.719336357,0,0.019477577,0.664984576,0.008163494,0,,37.41885544,63.70000076,Presidential,Center,,-1.351042,22.71086418,25.95000076,0.02671071,0.019477577,0
Angola,AGO,2003,Sub-Saharan Africa,Lower middle income,1,0.500225396,0.095861544,35858.015,5218.207136,2.98985001,5.559789097,3.880000114,25.90327561,,-10.94699506,17.17157991,,0.648865067,83,49.57988943,54.32133738,4.741447947,53.645,14.53555707,,48.44,,95.85310338,18121479,3.37881111,98.22414366,1.128335509,30.45111061,8.930000305,28.85190747,646.1,41.17,1.788787879,60.99577043,6.025119691,1246700,62.20551378,24.54401094,0,0.117947588,1.15679589,0,95.85310338,31.72142412,6.198384339,36.45000076,,NA,-2,-1.320665,53.11699639,54.61999893,23.26926746,0.117947588,0
Albania,ALB,2003,Europe & Central Asia,Upper middle income,1,1.412697196,0.196819347,7834.0157,7177.633793,5.530050778,8.300010249,16.61000061,22.90139256,5.323896566,-2.904443891,17.19614992,1.029738468,63.41740743,41,46.17318516,20.84745139,-25.32573377,44.573,110.9348905,4.095187299,74.828,100.0051422,1469.264539,3039616,-0.374149169,0.484002612,8.625453999,33.89688681,14.81000042,25.84703423,3185.7,54.83,99.31956747,28.21645985,4.344377214,28750,97.85657051,0.762016172,0,0.011262658,0.062998763,0.001085802,1469.264539,64.52837122,21.9782092,49.27000046,Assembly-Elected President,Left,7,-0.8122751,24.05558276,35.91999817,0.686668949,0.011262658,8.593032167
Andorra,AND,2003,Europe & Central Asia,High income,0,7.315760706,,,,8.694203716,4.697590473,,,,,,0.007184215,,,,,,91.207,155.706383,2.359953141,,,,73182,4.375449193,,,,,,,,,34.04255319,,470,100,0,0,,0,,,,0,,,NA,,1.37669,0,,NA,NA,4.404294525
United Arab Emirates,ARE,2003,Middle East & North Africa,High income,1,28.76750975,0.294161353,134091.6856,97795.00086,8.800540815,3.575890809,2.710000038,,1.212307018,,,48.27282673,,19.2,46.37697028,55.92319922,9.54622894,81.472,52.26600957,1.706109977,74.968,,12366.06705,3711932,6.487170055,,,22.12976184,33.84000015,,20927.8,183.22,755.625,4.390185863,4.444911249,98647.9,0,17.87456457,0,0.770690203,0.000164391,0,12366.06705,95.19202299,1.927683933,6.110000134,Presidential,NA,-8,0.8603278,49.12101292,60.04999924,17.10370998,0.770690203,0.509728471
Argentina,ARG,2003,Latin America & Caribbean,Upper middle income,1,3.546088324,0.212154262,344797.06,16714.66926,8.837040796,-3.125520328,15.35999966,19.83730299,7.789882479,-2.829368043,12.5187797,17.08306339,6.715981269,65.5,14.7138051,25.93094293,11.21713782,89.686,13.91749449,3.00518543,74.107,114.4946671,2180.326817,38087868,1.07199404,,,14.1469621,21.79000092,22.64597048,3318.8,68.43,41.84670629,11.84964318,4.972667694,2780400,37.95175486,5.064666557,0.16915818,0.656742699,0.143363238,7.72E-07,2180.326817,99.95686804,10.32816694,1.399999976,Presidential,Left,8,-0.4783363,32.6450991,76.80999756,4.095401668,0.656742699,3.451661402
Armenia,ARM,2003,Europe & Central Asia,Upper middle income,1,1.136090873,0.19507967,6973.88104,5823.727671,14,7.859999998,10.72000027,,2.518275723,,,1.962691791,9.167383824,18,49.56836971,30.48299789,-19.08537182,64.137,106.003934,19.21337661,72.348,94.19893646,1320.44062,3017932,-0.530280113,4.721553366,15.51698759,28.34794998,16.79999924,15.81843715,1567.1,49.4,22.9978022,11.66195996,6.533606886,29740,36.02981276,0.520673274,0.493603936,0,0.027069338,0,1320.44062,86.01471381,0,40.22000122,,NA,5,-0.5700286,0,42.97999954,0,0,7.504171921
American Samoa,ASM,2003,East Asia & Pacific,Upper middle income,1,,,51.838339,,0.814111262,,,,5.042440541,,,,,,108.3491461,97.34345351,-11.0056926,88.297,297.52,,,,,59504,0.715107952,,,,,,,86.71,,88.2,,200,0,0,0,0,0,0,0,65.7106213,,,,NA,,,0,,0,0,0
Antigua and Barbuda,ATG,2003,Latin America & Caribbean,High income,1,5.086633039,0.283297316,418.837958,17955.10494,6.076543688,2.224322551,,,6.304295747,,,,,,77.39580585,94.27964727,16.88384142,30.464,180.2272727,,74.613,,,79300,1.275438464,1.993530552,13.80627077,23.18068392,,,1571.4,101.19,27.25,21.02045455,3.70822558,440,0,0,0,0,0,0,0,,1.748065754,,,NA,,0.8889436,13.27137402,,0,0,0
